Date;Technology Return;Financials Return;Energy Return;Technology Portfolio;Financials Portfolio;Energy Portfolio;Technology Return Weekly
25.05.22;0.005855719;0.012504813;0.020094405;75.48137039;84.81524801;157.2338358;-0.001753628
26.05.22;0.022733189;0.028766485;0.010624606;77.19730264;87.25508453;158.9043833;0.00344151
27.05.22;0.032469818;0.012914248;0.01488887;79.70388504;88.38191834;161.27029;0.008157656
28.05.22;0.032469818;0.012914248;0.01488887;79.70388504;88.38191834;161.27029;0.012873802
29.05.22;0.032469818;0.012914248;0.01488887;79.70388504;88.38191834;161.27029;0.017589948
30.05.22;0.032469818;0.012914248;0.01488887;79.70388504;88.38191834;161.27029;0.018087615
31.05.22;-0.00074694;0.00018374;-0.019460393;79.64435105;88.39815763;158.1319069;0.022531606
01.06.22;-0.00468586;-0.014985744;0.017407692;79.27114874;87.07344548;160.8846184;0.021025666
02.06.22;0.02577418;0.011326861;-0.003142233;81.31429757;88.0597143;160.3790814;0.021460093
03.06.22;-0.027869892;-0.013371005;0.01473909;79.04807686;86.88226745;162.7429232;0.012840135
04.06.22;-0.027869892;-0.013371005;0.01473909;79.04807686;86.88226745;162.7429232;0.004220176
05.06.22;-0.027869892;-0.013371005;0.01473909;79.04807686;86.88226745;162.7429232;-0.004399783
06.06.22;0.008605965;0.001572564;-0.002871367;79.72836186;87.01889537;162.2756286;-0.007808905
07.06.22;0.010439901;0.005711893;0.034184997;80.56071809;87.51593799;167.8230205;-0.006210784
08.06.22;-0.002897475;-0.018108473;0.005277127;80.32729542;85.931158;168.708644;-0.005955301
09.06.22;-0.032733967;-0.031372118;-0.023618695;77.69786439;83.23531554;164.723966;-0.014313607
10.06.22;-0.03887254;-0.050993859;-0.015924044;74.67755104;78.99082561;162.1008944;-0.015885414
11.06.22;-0.03887254;-0.050993859;-0.015924044;74.67755104;78.99082561;162.1008944;-0.017457221
12.06.22;-0.03887254;-0.050993859;-0.015924044;74.67755104;78.99082561;162.1008944;-0.019029028
13.06.22;-0.044236879;-0.032404938;-0.049574634;71.37404923;76.43113284;154.0648018;-0.026578006
14.06.22;0.005047901;-0.021231236;-0.000281569;71.73433839;74.8084054;154.021422;-0.027348291
15.06.22;0.025185675;0.016785077;-0.020170169;73.54101611;76.06407022;150.9147839;-0.023336413
16.06.22;-0.037474115;-0.020159875;-0.050046153;70.78513159;74.53062809;143.3620795;-0.024013577
17.06.22;0.011225406;0.006933511;-0.051969971;71.5797234;75.04738704;135.9115564;-0.016856728
18.06.22;0.011225406;0.006933511;-0.051969971;71.5797234;75.04738704;135.9115564;-0.009699878
19.06.22;0.011225406;0.006933511;-0.051969971;71.5797234;75.04738704;135.9115564;-0.002543029
20.06.22;0.011225406;0.006933511;-0.051969971;71.5797234;75.04738704;135.9115564;0.005380155
21.06.22;0.021852743;0.021472924;0.054091672;73.14393668;76.65887387;143.2632397;0.007780846
22.06.22;-0.003221771;-0.006471764;-0.039809479;72.90828365;76.16275576;137.5600047;0.00372264
23.06.22;0.015920168;-0.009649751;-0.035256734;74.0689958;75.42780412;132.7100883;0.011350395
24.06.22;0.042489722;0.043794519;0.018697916;77.21616682;78.73112855;135.1914904;0.015816725
25.06.22;0.042489722;0.043794519;0.018697916;77.21616682;78.73112855;135.1914904;0.020283056
26.06.22;0.042489722;0.043794519;0.018697916;77.21616682;78.73112855;135.1914904;0.024749387
27.06.22;-0.008429977;-0.008304911;0.021708735;76.56523634;78.07727355;138.1263267;0.021941475
28.06.22;-0.034079037;-0.004583361;0.026977487;73.95596685;77.7194172;141.8526279;0.013951221
29.06.22;0.00968935;-0.009263428;-0.030952662;74.67255213;76.99946899;137.4619114;0.015795667
30.06.22;-0.018214569;-0.017991303;-0.019751538;73.31242376;75.61414818;134.7468271;0.010919276
01.07.22;0.006127568;0.014259211;0.015895778;73.76165062;76.69234627;136.8887328;0.005724683
02.07.22;0.006127568;0.014259211;0.015895778;73.76165062;76.69234627;136.8887328;0.000530089
03.07.22;0.006127568;0.014259211;0.015895778;73.76165062;76.69234627;136.8887328;-0.004664504
04.07.22;0.006127568;0.014259211;0.015895778;73.76165062;76.69234627;136.8887328;-0.002584855
05.07.22;0.025785284;-0.004186591;-0.037060111;75.66361575;76.37126677;131.8156211;0.005967191
06.07.22;0.009790084;-0.009965208;-0.016799805;76.40436887;75.61021118;129.6011443;0.005981581
07.07.22;0.020774131;0.021674628;0.033780614;77.99160326;77.24903435;133.9791505;0.011551396
08.07.22;0.00101089;-0.001968128;-0.000197902;78.07044416;77.09699835;133.9526358;0.010820442
09.07.22;0.00101089;-0.001968128;-0.000197902;78.07044416;77.09699835;133.9526358;0.010089488
10.07.22;0.00101089;-0.001968128;-0.000197902;78.07044416;77.09699835;133.9526358;0.009358534
11.07.22;-0.019680205;-0.011563837;-0.009364932;76.53400183;76.20546125;132.6981785;0.005671709
12.07.22;-0.009909788;-0.003020356;-0.018431118;75.77556606;75.97529362;130.2524026;0.000572413
13.07.22;-0.007042527;-0.01193168;-0.001320297;75.24191456;75.06878072;130.0804308;-0.001832246
14.07.22;0.001170334;-0.02030715;-0.019483427;75.3299727;73.54434776;127.5460182;-0.004632788
15.07.22;0.017198282;0.052640563;0.018374807;76.62551882;77.41576362;129.8896516;-0.002320304
16.07.22;0.017198282;0.052640563;0.018374807;76.62551882;77.41576362;129.8896516;-7.81905E-06
17.07.22;0.017198282;0.052640563;0.018374807;76.62551882;77.41576362;129.8896516;0.002304666
18.07.22;-0.012698424;0.000313331;0.019060644;75.65249551;77.44002034;132.3654321;0.003302063
19.07.22;0.03355866;0.037813731;0.031068975;78.19129186;80.36831646;136.4778904;0.009511841
20.07.22;0.012167715;0.001612469;0.01153803;79.1427012;80.49790786;138.0525764;0.012256162
21.07.22;0.009346277;0.008881018;-0.014511647;79.88239084;81.21281122;136.0492061;0.013424153
22.07.22;-0.030782482;-0.003859366;-0.003471165;77.42341258;80.89938122;135.5769569;0.006569759
23.07.22;-0.030782482;-0.003859366;-0.003471165;77.42341258;80.89938122;135.5769569;-0.000284636
24.07.22;-0.030782482;-0.003859366;-0.003471165;77.42341258;80.89938122;135.5769569;-0.007139031
25.07.22;-0.006089631;0.005710519;0.034416311;76.95193253;81.36135866;140.2430156;-0.006194918
26.07.22;-0.020666028;-0.018188079;-0.009217206;75.3616417;79.88155183;138.9503669;-0.013941302
27.07.22;0.049954205;0.019108673;0.020022863;79.12627258;81.40798231;141.7325511;-0.008543232
